gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage
AT3G18140	AT3G18140.1	arabidopsis_thaliana	85.5738	ortholog_one2many	Solyc03g059310.3	Solyc03g059310.3.1	solanum_lycopersicum	82.8571	NULL	NULL	NULL	98.74
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.8852	ortholog_many2many	CEY00_Acc00837	PSS36327	actinidia_chinensis	84.127	NULL	NULL	NULL	98.92
AT3G18140	AT3G18140.1	arabidopsis_thaliana	88.1967	ortholog_one2many	LR48_Vigan09g231800	KOM53659	vigna_angularis	85.1266	NULL	NULL	NULL	97.97
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.541	ortholog_one2many	HannXRQ_Chr16g0517691	OTF92056	helianthus_annuus	83.4375	NULL	NULL	NULL	98.24
AT3G18140	AT3G18140.1	arabidopsis_thaliana	88.1967	ortholog_one2many	TCM_024783	EOY09361	theobroma_cacao	84.858	NULL	NULL	NULL	98.83
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.8852	ortholog_one2many	DCAR_016999	KZM93754	daucus_carota	83.8608	NULL	NULL	NULL	98.24
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.541	ortholog_one2many	CCACVL1_22471	OMO63118	corchorus_capsularis	84.4937	NULL	NULL	NULL	98.86
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.8852	ortholog_one2many	POPTR_016G052800v3	PNS97971	populus_trichocarpa	83.8608	NULL	NULL	NULL	98.95
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.8689	ortholog_many2many	GLYMA_15G085200	KRH11050	glycine_max	84.8101	NULL	NULL	NULL	98.79
AT3G18140	AT3G18140.1	arabidopsis_thaliana	88.1967	ortholog_one2many	Vradi10g09920	Vradi10g09920.1	vigna_radiata	85.1266	NULL	NULL	NULL	97.45
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.8689	ortholog_one2many	PHAVU_006G173700g	ESW20012	phaseolus_vulgaris	84.8101	NULL	NULL	NULL	98.84
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.541	ortholog_many2many	CEY00_Acc10196	PSS21154	actinidia_chinensis	84.7619	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.8852	ortholog_one2many	MTR_2g016690	KEH36636	medicago_truncatula	80.0604	NULL	NULL	NULL	96.04
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.2131	ortholog_one2many	PRUPE_7G067800	ONH95394	prunus_persica	81.8462	NULL	NULL	NULL	98.40
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.8689	ortholog_one2many	B456_002G229900	KJB16426	gossypium_raimondii	81.7073	NULL	NULL	NULL	98.77
AT3G18140	AT3G18140.1	arabidopsis_thaliana	83.2787	ortholog_one2many	BVRB_3g061170	KMT15413	beta_vulgaris	80.1262	NULL	NULL	NULL	98.72
AT3G18140	AT3G18140.1	arabidopsis_thaliana	80.9836	ortholog_one2many	Os03g0681700	Os03t0681700-01	oryza_sativa	78.1646	NULL	NULL	NULL	98.88
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	BRADI_2g60690v3	KQK11533	brachypodium_distachyon	81.6456	NULL	NULL	NULL	98.88
AT3G18140	AT3G18140.1	arabidopsis_thaliana	81.3115	ortholog_one2many	OB03G36910	OB03G36910.1	oryza_brachyantha	78.481	NULL	NULL	NULL	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	TRIDC4BG004500	TRIDC4BG004500.3	triticum_dicoccoides	81.6456	NULL	NULL	NULL	98.72
AT3G18140	AT3G18140.1	arabidopsis_thaliana	76.3934	ortholog_many2many	LPERR03G24520	LPERR03G24520.1	leersia_perrieri	63.1436	NULL	NULL	NULL	89.62
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.4098	ortholog_many2many	SETIT_036688mg	KQK87717	setaria_italica	81.5603	NULL	NULL	NULL	98.72
AT3G18140	AT3G18140.1	arabidopsis_thaliana	80.9836	ortholog_one2many	ORGLA03G0274300	ORGLA03G0274300.1	oryza_glaberrima	78.1646	NULL	NULL	NULL	98.95
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	TraesCS4D02G023600	TraesCS4D02G023600.1	triticum_aestivum	81.6456	NULL	NULL	NULL	98.71
AT3G18140	AT3G18140.1	arabidopsis_thaliana	29.5082	ortholog_many2many	LPERR11G06840	LPERR11G06840.1	leersia_perrieri	71.4286	NULL	NULL	NULL	80.55
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.4098	ortholog_one2many	OPUNC03G27060	OPUNC03G27060.1	oryza_punctata	77.7027	NULL	NULL	NULL	98.51
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.4098	ortholog_one2many	OBART03G29700	OBART03G29700.1	oryza_barthii	77.7027	NULL	NULL	NULL	98.82
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.082	ortholog_one2many	OGLUM03G29970	OGLUM03G29970.1	oryza_glumipatula	65.8046	NULL	NULL	NULL	93.36
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.918	ortholog_many2many	PAHAL_9G134800	PAN45687	panicum_hallii_fil2	81.962	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	80.9836	ortholog_one2many	BGIOSGA013339	BGIOSGA013339-PA	oryza_indica	78.1646	NULL	NULL	NULL	98.95
AT3G18140	AT3G18140.1	arabidopsis_thaliana	85.2459	ortholog_many2many	SETIT_026660mg	KQK95183	setaria_italica	82.2785	NULL	NULL	NULL	97.94
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.918	ortholog_one2many	SORBI_3005G172500	EES08772	sorghum_bicolor	81.962	NULL	NULL	NULL	98.11
AT3G18140	AT3G18140.1	arabidopsis_thaliana	85.5738	ortholog_one2many	GSMUA_Achr10G28590_001	GSMUA_Achr10P28590_001	musa_acuminata	82.5949	NULL	NULL	NULL	98.85
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_many2many	GQ55_8G219400	PUZ45393	panicum_hallii_hal2	81.6456	NULL	NULL	NULL	98.76
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_many2many	PAHAL_8G222800	PAN43248	panicum_hallii_fil2	81.6456	NULL	NULL	NULL	98.78
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.918	ortholog_one2many	HORVU4Hr1G003940	HORVU4Hr1G003940.4	hordeum_vulgare	81.962	NULL	NULL	NULL	97.39
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	AET4Gv20040000	AET4Gv20040000.3	aegilops_tauschii	81.6456	NULL	NULL	NULL	98.71
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	TraesCS4A02G288600	TraesCS4A02G288600.1	triticum_aestivum	81.6456	NULL	NULL	NULL	98.69
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.918	ortholog_one2many	Zm00001d007577	Zm00001d007577_P001	zea_mays	81.962	NULL	NULL	NULL	98.84
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.2131	ortholog_one2many	Dr12735	Dr12735.1.cds	dioscorea_rotundata	64.4068	NULL	NULL	NULL	89.80
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	TRIDC4AG044470	TRIDC4AG044470.1	triticum_dicoccoides	81.6456	NULL	NULL	NULL	98.69
AT3G18140	AT3G18140.1	arabidopsis_thaliana	66.5574	ortholog_one2many	KN538788.1_FG001	KN538788.1_FGP001	oryza_longistaminata	77.7778	NULL	NULL	NULL	95.22
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.918	ortholog_many2many	GQ55_9G131500	PUZ37594	panicum_hallii_hal2	81.962	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.4098	ortholog_one2many	ONIVA03G30970	ONIVA03G30970.2	oryza_nivara	75.9076	NULL	NULL	NULL	98.13
AT3G18140	AT3G18140.1	arabidopsis_thaliana	84.5902	ortholog_one2many	TraesCS4B02G026200	TraesCS4B02G026200.1	triticum_aestivum	81.6456	NULL	NULL	NULL	98.71
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.4098	ortholog_one2many	ORUFI03G30910	ORUFI03G30910.3	oryza_rufipogon	77.7027	NULL	NULL	NULL	98.68
AT3G18140	AT3G18140.1	arabidopsis_thaliana	79.0164	ortholog_one2many	TRIUR3_10179	TRIUR3_10179-P1	triticum_urartu	81.4189	NULL	NULL	NULL	98.76
AT3G18140	AT3G18140.1	arabidopsis_thaliana	85.2459	ortholog_one2many	AMTR_s00012p00206700	ERN07853	amborella_trichopoda	82.2785	NULL	NULL	NULL	97.14
AT3G18140	AT3G18140.1	arabidopsis_thaliana	76.0656	ortholog_many2many	SELMODRAFT_233900	EFJ16737	selaginella_moellendorffii	75.0809	NULL	NULL	NULL	99.29
AT3G18140	AT3G18140.1	arabidopsis_thaliana	78.0328	ortholog_many2many	SELMODRAFT_163404	EFJ04593	selaginella_moellendorffii	75.5556	NULL	NULL	NULL	99.31
AT3G18140	AT3G18140.1	arabidopsis_thaliana	80.9836	ortholog_one2many	Pp3c11_25160	Pp3c11_25160V3.1	physcomitrella_patens	78.1646	NULL	NULL	NULL	98.09
AT3G18140	AT3G18140.1	arabidopsis_thaliana	66.8852	ortholog_one2many	CHLRE_17g713900v5	PNW70296	chlamydomonas_reinhardtii	64.7619	NULL	NULL	NULL	28.99
AT3G18140	AT3G18140.1	arabidopsis_thaliana	70.8197	ortholog_one2many	OSTLU_32128	ABO96735	ostreococcus_lucimarinus	67.7116	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	27.2131	ortholog_many2many	Gasu_26430	EME30058	galdieria_sulphuraria	22.865	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	28.5246	ortholog_many2many	Gasu_39030	EME28696	galdieria_sulphuraria	25.8929	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	27.541	ortholog_many2many	Gasu_50600	EME27329	galdieria_sulphuraria	25.1497	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	42.2951	ortholog_one2many	CMH260C	CMH260CT	cyanidioschyzon_merolae	35.2459	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	41.6393	ortholog_one2many	FBgn0264691	FBpp0071303	drosophila_melanogaster	40.5751	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	44.2623	ortholog_one2many	ENSCSAVG00000004318	ENSCSAVP00000007220	ciona_savignyi	41.7957	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	27.8689	ortholog_one2many	WBGene00015697	C10H11.8a	caenorhabditis_elegans	22.2513	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	45.5738	ortholog_one2many	ENSG00000167965	ENSP00000457870	homo_sapiens	42.638	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	51.4754	ortholog_one2many	YNL006W	YNL006W_mRNA	saccharomyces_cerevisiae	51.8152	NULL	NULL	NULL	NULL
